Date,Rate,CGST%,Qty,CGST,SGST%,SGST,SlNo,Amount,IGST%,Qty,Item Name,IGST,Invoice No
08-04-24,3.60,9.00,9150,32.40,9.00,32.40,96,424.80,0.00,100.00,VB-1261 MAT(0.45MMX22MM),0.00,9150
08-04-24,4.03,9.00,0,90.68,9.00,90.68,97,1188.86,0.00,250.00,VAY BAND 1113MT(OFF-WHITE),0.00,0
08-04-24,4.03,9.00,0,90.68,9.00,90.68,98,1188.86,0.00,250.00,VAY BAND 1114MT,0.00,0
08-04-24,4.33,9.00,0,97.42,9.00,97.42,99,1277.34,0.00,250.00,VAY BAND REALWOOD LIGHT MAT,0.00,0
08-04-24,4.33,9.00,50,97.42,9.00,97.42,100,1277.34,0.00,250.00,VAY BAND 10485,0.00,50
08-04-24,4.33,9.00,7300,97.42,9.00,97.42,101,1277.34,0.00,250.00,VAY BAND 11510,0.00,7300
08-04-24,4.33,9.00,50,97.42,9.00,97.42,102,1277.34,0.00,250.00,VAY BAND 10485,0.00,50
08-04-24,4.33,9.00,0,194.85,9.00,194.85,103,2554.70,0.00,500.00,VAY BAND 1043 (0.5 MM),0.00,0
08-04-24,4.33,9.00,0,194.85,9.00,194.85,104,2554.70,0.00,500.00,VAY BAND 1043 (0.5 MM),0.00,0
08-04-24,4.33,9.00,0,194.85,9.00,194.85,105,2554.70,0.00,500.00,VAY BAND 1043 (0.5 MM),0.00,0
08-04-24,4.33,9.00,0,97.42,9.00,97.42,106,1277.34,0.00,250.00,VAY BAND 19070,0.00,0
08-04-24,4.33,9.00,3700,97.42,9.00,97.42,107,1277.34,0.00,250.00,VAY BAND 10450,0.00,3700
08-04-24,4.33,9.00,0,97.42,9.00,97.42,108,1277.34,0.00,250.00,VAY BAND 19070,0.00,0
08-04-24,4.33,9.00,50,97.42,9.00,97.42,109,1277.34,0.00,250.00,VAY BAND 10485,0.00,50
08-04-24,4.33,9.00,0,97.42,9.00,97.42,110,1277.34,0.00,250.00,VAY BAND REALWOOD LIGHT MAT,0.00,0
08-04-24,4.33,9.00,0,97.42,9.00,97.42,111,1277.34,0.00,250.00,VAY BAND 1515 VENGA MT,0.00,0
08-04-24,4.33,9.00,0,116.91,9.00,116.91,112,1532.82,0.00,300.00,VAY BAND 1043 (0.5 MM),0.00,0
08-04-24,4.66,9.00,3700,83.88,9.00,83.88,113,1099.76,0.00,200.00,VAY BAND 10450,0.00,3700
08-04-24,4.66,9.00,0,83.88,9.00,83.88,114,1099.76,0.00,200.00,VAY BAND 19070,0.00,0
08-04-24,4.66,9.00,0,41.94,9.00,41.94,115,549.88,0.00,100.00,VAY BAND 5550MT,0.00,0
08-04-24,6.99,9.00,5350,157.28,9.00,157.28,116,2062.06,0.00,250.00,VAY BAND 1261HG (DARK GREY),0.00,5350
08-04-24,6.99,9.00,5350,94.36,9.00,94.36,117,1237.22,0.00,150.00,VAY BAND 1261HG (DARK GREY),0.00,5350
08-04-24,7.63,9.00,23700,68.67,9.00,68.67,118,900.34,0.00,100.00,VAY BAND 1113HG(OFF-WHITE),0.00,23700
08-04-24,7.63,9.00,5250,103.00,9.00,103.00,119,1350.50,0.00,150.00,VAY BAND 1313 HG CLUD GREY,0.00,5250
08-04-24,11.02,9.00,3550,99.18,9.00,99.18,120,1300.36,0.00,100.00,VAY BAND REALWOOD LIGHT MAT 40MMX50MTR,0.00,3550
09-04-24,3.60,9.00,0,81.00,9.00,81.00,121,1062.00,0.00,250.00,VB-1011 MT(0.45MMX22MM),0.00,0
09-04-24,3.60,9.00,9150,162.00,9.00,162.00,122,2124.00,0.00,500.00,VB-1261 MAT(0.45MMX22MM),0.00,9150
