Item Code / SKU,Item Key,Supplier Name,Assigned Supplier ID,Assigned Supplier Name,Supplier Source,Is Discontinued,Discontinued Date,Discontinued Reason,Item Name,Category / Size / Type,Total Sales Qty,Overall Monthly Velocity Qty,Recent Period Sales Qty,Recent Monthly Velocity Qty,Weighted Velocity Qty,Velocity Percentile,Velocity Class,Sales Frequency %,Recent Sales Frequency %,Older Avg Monthly Sales Qty,Recent Avg Monthly Sales Qty,Trend Change %,Sales Trend,Monthly Sales Std Dev,Sales CV,Consistency Class,Current Stock Qty,Stock Coverage Months,Recent Stock Coverage Months,Relevant Velocity Qty,Suggested Target Cover Months,Required Stock Qty,Exact Purchase Requirement Qty,Box / Pack Quantity,Rounded PO Qty,Final PO Quantity,Stock After PO Qty,Stock Cover After PO Months,Extra Stock Due To Rounding,Overstock After PO Flag,Purchase Price,Estimated Purchase Value,Purchase Priority,Stock Risk Level,PO Optimization Decision,Budget Priority Score,Included In Budget PO,Deferred Reason,Budget Approved PO Quantity,Budget Approved PO Value,Reason for Recommendation,Target Stock Cover,Reason
1261 HG (0.5 X 40 MM),1261 HG (0.5 X 40 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1261 HG (0.5 X 40 MM),,300.0,7.5,300.0,50.0,37.25,24.015748031496063,Slow Moving,5.0,33.33333333333333,0.0,50.0,0.0,New Moving Item,34.99084129252931,4.665445505670575,Irregular,700.0,93.33333333333333,14.0,50.0,1.0,50.0,0.0,750.0,0.0,0.0,700.0,14.0,0.0,Yes,7.98,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1150.0,Yes,,0.0,0.0,Slow Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 1.0 months,,
1261MT 2MMX22MM,1261MT 2MMX22MM,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1261MT 2MMX22MM,,0.0,0.0,,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular,600.0,,,0.0,0.0,0.0,0.0,600.0,0.0,0.0,600.0,0.0,0.0,No,14.41,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1500.0,Yes,,0.0,0.0,Dead Stock / No Sales; No Sales; Irregular; Overstock Risk; Enough Stock / No Purchase,,
1264 MT 0.5 X 22,1264 MT 0.5 X 22,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1264 MT 0.5 X 22,,0.0,0.0,,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular,0.0,,,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,No,3.08,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dead Stock / No Sales; No Sales; Irregular; Low Stock Risk; Enough Stock / No Purchase,,
1267 HG(0.5X22MM),1267 HG(0.5X22MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,1267 HG(0.5X22MM),,3350.0,83.75,3350.0,558.3333333333334,415.9583333333333,80.51181102362204,Fast Moving,7.5,50.0,0.0,558.3333333333334,0.0,New Moving Item,327.0668989828478,3.9052764057653473,Irregular,5800.0,69.25373134328358,10.388059701492537,558.3333333333334,3.0,1675.0,0.0,1300.0,0.0,0.0,5800.0,10.388059701492537,0.0,Yes,5.7,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,1058.3333333333335,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
19070 MT(0.8MMX40MM),19070 MT(0.8MMX40MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19070 MT(0.8MMX40MM),,500.0,12.5,350.0,58.333333333333336,44.583333333333336,29.133858267716533,Slow Moving,5.0,16.666666666666664,4.411764705882353,58.333333333333336,1222.2222222222222,Strong Upward Trend,59.646393920272395,4.771711513621792,Irregular,1300.0,104.0,22.285714285714285,58.333333333333336,1.0,58.333333333333336,0.0,,0.0,0.0,1300.0,22.285714285714285,0.0,Yes,13.3,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-1141.6666666666667,Yes,,0.0,0.0,Slow Moving; Strong Upward Trend; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 1.0 months,,
19991 HG (0.5 X 22 MM),19991 HG (0.5 X 22 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19991 HG (0.5 X 22 MM),,2650.0,66.25,2650.0,441.6666666666667,329.0416666666667,75.59055118110236,Fast Moving,7.5,50.0,0.0,441.6666666666667,0.0,New Moving Item,247.3934632140179,3.7342409541738553,Irregular,4350.0,65.66037735849056,9.849056603773585,441.6666666666667,3.0,1325.0,0.0,1300.0,0.0,0.0,4350.0,9.849056603773585,0.0,Yes,4.96,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,941.6666666666665,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
19992 HG(0.5X22 MM),19992 HG(0.5X22 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19992 HG(0.5X22 MM),,4000.0,100.0,4000.0,666.6666666666666,496.66666666666663,86.22047244094489,Fast Moving,7.5,50.0,0.0,666.6666666666666,0.0,New Moving Item,411.84388379018645,4.118438837901865,Irregular,4450.0,44.5,6.675000000000001,666.6666666666666,3.0,2000.0,0.0,1300.0,0.0,0.0,4450.0,6.675000000000001,0.0,Yes,5.7,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,1166.6666666666665,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
19992 MT 0.5 X 22,19992 MT 0.5 X 22,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19992 MT 0.5 X 22,,0.0,0.0,,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,0.0,0.0,0.0,No Sales,0.0,0.0,Irregular,0.0,,,0.0,0.0,0.0,0.0,1300.0,0.0,0.0,0.0,0.0,0.0,No,3.08,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dead Stock / No Sales; No Sales; Irregular; Low Stock Risk; Enough Stock / No Purchase,,
19993 HG(0.5X22 MM),19993 HG(0.5X22 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19993 HG(0.5X22 MM),,2400.0,60.0,2400.0,400.0,298.0,72.04724409448819,Medium Moving,7.5,50.0,0.0,400.0,0.0,New Moving Item,256.2550812504343,4.270918020840571,Irregular,400.0,6.666666666666667,1.0,400.0,2.5,1000.0,600.0,1300.0,1300.0,1300.0,1700.0,4.25,700.0,Yes,5.7,7410.0,Medium,Overstock Risk,Purchase Optimized,4892.59,Yes,,1300.0,7410.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Purchase Optimized; dynamic cover 2.5 months; Box rounding causes excess stock.,,
19994 HG(0.5X22MM),19994 HG(0.5X22MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19994 HG(0.5X22MM),,3350.0,83.75,3350.0,558.3333333333334,415.9583333333333,80.51181102362204,Fast Moving,7.5,50.0,0.0,558.3333333333334,0.0,New Moving Item,363.1040502143308,4.335570748827831,Irregular,5350.0,63.88059701492537,9.582089552238806,558.3333333333334,3.0,1675.0,0.0,1300.0,0.0,0.0,5350.0,9.582089552238806,0.0,Yes,2.15,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,1058.3333333333335,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
19995 HG(0.5X22MM),19995 HG(0.5X22MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19995 HG(0.5X22MM),,2050.0,51.25,2050.0,341.6666666666667,254.54166666666666,69.68503937007874,Medium Moving,7.5,50.0,0.0,341.6666666666667,0.0,New Moving Item,196.27541481688039,3.8297641915488856,Irregular,850.0,16.585365853658537,2.4878048780487805,341.6666666666667,2.5,854.1666666666667,4.1666666666667425,1300.0,0.0,0.0,850.0,2.4878048780487805,0.0,No,4.96,0.0,No Purchase,Overstock Risk,Skipped: rounded PO creates overstock,-158.33333333333326,Yes,,0.0,0.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Skipped: rounded PO creates overstock; dynamic cover 2.5 months; Box rounding causes excess stock.,,
19996 HG(0.5X22 MM),19996 HG(0.5X22 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,19996 HG(0.5X22 MM),,3550.0,88.75,3550.0,591.6666666666666,440.79166666666663,83.85826771653542,Fast Moving,7.5,50.0,0.0,591.6666666666666,0.0,New Moving Item,323.1431174556784,3.6410492107682075,Irregular,8600.0,96.90140845070422,14.535211267605634,591.6666666666666,3.0,1775.0,0.0,1300.0,0.0,0.0,8600.0,14.535211267605634,0.0,Yes,5.7,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,1091.6666666666665,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
2891 0.5X40MM,2891 0.5X40MM,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,2891 0.5X40MM,,950.0,23.75,950.0,158.33333333333334,117.95833333333333,54.7244094488189,Medium Moving,7.5,50.0,0.0,158.33333333333334,0.0,New Moving Item,96.06855191303066,4.044991659496028,Irregular,2200.0,92.63157894736842,13.894736842105262,158.33333333333334,2.5,395.83333333333337,0.0,,0.0,0.0,2200.0,13.894736842105262,0.0,Yes,8.91,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-341.66666666666674,Yes,,0.0,0.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 2.5 months,,
2892 ( 0.5 X 40 MM ),2892 ( 0.5 X 40 MM ),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,2892 ( 0.5 X 40 MM ),,2100.0,52.5,2100.0,350.0,260.75,70.07874015748031,Medium Moving,7.5,50.0,0.0,350.0,0.0,New Moving Item,230.92622864655948,4.398594831363038,Irregular,250.0,4.761904761904762,0.7142857142857143,350.0,2.5,875.0,625.0,750.0,750.0,750.0,1000.0,2.857142857142857,125.0,No,8.91,6682.5,High,High Stock Risk,Purchase Optimized,9343.3175,Yes,,750.0,6682.5,Medium Moving; New Moving Item; Irregular; High Stock Risk; Purchase Optimized; dynamic cover 2.5 months,,
5465 (0.5X40MM),5465 (0.5X40MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,5465 (0.5X40MM),,700.0,17.5,700.0,116.66666666666667,86.91666666666667,45.2755905511811,Medium Moving,7.5,50.0,0.0,116.66666666666667,0.0,New Moving Item,62.583277851728624,3.576187305813064,Irregular,2800.0,160.0,24.0,116.66666666666667,2.5,291.6666666666667,0.0,750.0,0.0,0.0,2800.0,24.0,0.0,Yes,8.26,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-383.33333333333326,Yes,,0.0,0.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 2.5 months,,
7611 (0.45 X 22 MM),7611 (0.45 X 22 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,7611 (0.45 X 22 MM),,3000.0,75.0,3000.0,500.0,372.5,77.95275590551181,Fast Moving,7.5,50.0,0.0,500.0,0.0,New Moving Item,303.3995419430986,4.0453272259079815,Irregular,3500.0,46.666666666666664,7.0,500.0,3.0,1500.0,0.0,1300.0,0.0,0.0,3500.0,7.0,0.0,Yes,3.48,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,1000.0,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
POLYFIX DE-BONDER 100ML,POLYFIX DE-BONDER 100ML,Unknown Supplier,,Unknown Supplier,Unknown Supplier,No,,,POLYFIX DE-BONDER 100ML,,2.0,0.05,0.0,0.0,0.015,0.39370078740157477,Dormant,5.0,0.0,0.058823529411764705,0.0,-100.0,Dormant Item,0.22072142786315224,4.414428557263045,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
POLYFIX WPC GRADE 50GM,POLYFIX WPC GRADE 50GM,Unknown Supplier,,Unknown Supplier,Unknown Supplier,No,,,POLYFIX WPC GRADE 50GM,,252.0,6.3,0.0,0.0,1.89,3.543307086614173,Dormant,15.0,0.0,7.411764705882353,0.0,-100.0,Dormant Item,18.772866398622053,2.979820063273342,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
POLYFIX-FLX 20GM,POLYFIX-FLX 20GM,Unknown Supplier,,Unknown Supplier,Unknown Supplier,No,,,POLYFIX-FLX 20GM,,874.0,21.85,0.0,0.0,6.555000000000001,8.267716535433072,Dormant,22.5,0.0,25.705882352941178,0.0,-100.0,Dormant Item,58.46741367239072,2.6758541726494607,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
POLYFIX-FLX 50GM,POLYFIX-FLX 50GM,Unknown Supplier,,Unknown Supplier,Unknown Supplier,No,,,POLYFIX-FLX 50GM,,892.0,22.3,0.0,0.0,6.69,8.661417322834646,Dormant,30.0,0.0,26.235294117647058,0.0,-100.0,Dormant Item,41.83067209841516,1.8758148923056124,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
REALWOOD 1 (0.45X22),REALWOOD 1 (0.45X22),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,REALWOOD 1 (0.45X22),,4600.0,115.0,4600.0,766.6666666666666,571.1666666666666,88.58267716535433,Fast Moving,7.5,50.0,0.0,766.6666666666666,0.0,New Moving Item,484.0004238184201,4.2086993375514785,Irregular,9900.0,86.08695652173913,12.913043478260871,766.6666666666666,3.0,2300.0,0.0,1300.0,0.0,0.0,9900.0,12.913043478260871,0.0,Yes,3.05,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,1266.6666666666665,Yes,,0.0,0.0,Fast Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 3.0 months,,
REALWOOD2 (0.5 X 40 MM),REALWOOD2 (0.5 X 40 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,REALWOOD2 (0.5 X 40 MM),,550.0,13.75,550.0,91.66666666666667,68.29166666666667,40.94488188976378,Medium Moving,7.5,50.0,0.0,91.66666666666667,0.0,New Moving Item,56.59969647467768,4.11634156179474,Irregular,1350.0,98.18181818181819,14.727272727272727,91.66666666666667,2.5,229.16666666666669,0.0,750.0,0.0,0.0,1350.0,14.727272727272727,0.0,Yes,8.26,0.0,No Purchase,Overstock Risk,Enough Stock / No Purchase,-408.33333333333326,Yes,,0.0,0.0,Medium Moving; New Moving Item; Irregular; Overstock Risk; Enough Stock / No Purchase; dynamic cover 2.5 months,,
TOTAL,TOTAL,Unknown Supplier,,Unknown Supplier,Unknown Supplier,No,,,Total,,0.0,0.0,0.0,0.0,0.0,0.0,Dead Stock / No Sales,0.0,0.0,0.0,0.0,0.0,No Sales,0.0,0.0,Moderate,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,0.0,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dead Stock / No Sales; No Sales; Moderate; Low Stock Risk; Enough Stock / No Purchase,,
VAY BAND 1003 (0.5 MM),VAY BAND 1003 (0.5 MM),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,VAY BAND 1003 (0.5 MM),,18800.0,470.0,0.0,0.0,141.0,58.85826771653543,Dormant,15.0,0.0,552.9411764705883,0.0,-100.0,Dormant Item,1208.4000865734695,2.5710640139861054,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,3.39,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
VAY BAND 1011HG(P-WHITE),VAY BAND 1011HG(P-WHITE),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,VAY BAND 1011HG(P-WHITE),,32650.0,816.25,0.0,0.0,244.875,68.50393700787401,Dormant,32.5,0.0,960.2941176470588,0.0,-100.0,Dormant Item,1714.619921253388,2.100606335379342,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,5.59,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
VAY BAND 1011HG(P-WHITE) 40MMX50MTR,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,VAY BAND 1011HG(P-WHITE) 40MMX50MTR,,1400.0,35.0,0.0,0.0,10.5,12.598425196850393,Dormant,10.0,0.0,41.1764705882353,0.0,-100.0,Dormant Item,111.63126113028761,3.189464603722503,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,7.98,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
VAY BAND 1011MT(P-WHITE),VAY BAND 1011MT(P-WHITE),RAHMA Associates,SUP-0001,RAHMA Associates,Item Supplier Mapping,No,,,VAY BAND 1011MT(P-WHITE),,29850.0,746.25,0.0,0.0,223.875,66.53543307086615,Dormant,27.5,0.0,877.9411764705883,0.0,-100.0,Dormant Item,1461.2686576203535,1.958148954935147,Dormant,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,No,2.8,0.0,No Purchase,Low Stock Risk,Enough Stock / No Purchase,0.0,Yes,,0.0,0.0,Dormant; Dormant Item; Dormant; Low Stock Risk; Enough Stock / No Purchase,,
