SlNo,Invoice No,Date,Item Name,Rate,Qty,CGST%,CGST,SGST%,SGST,IGST%,IGST,Amount
95,30,4/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
96,31,7/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,150,9,83.57,9,83.57,0,0,1095.64
97,31,7/4/2025,VB-1033 WHITE WOOD  (0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
98,31,7/4/2025,VB-1115 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
99,31,7/4/2025,VB-1140 BAGE (0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
100,31,7/4/2025,VB-1873 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
101,31,7/4/2025,VB-2892 MT(.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
102,31,7/4/2025,VB-30029 (0.45MMX22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
103,31,7/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
104,32,7/4/2025,VAY BAND 1126 HG (.5),6.19,150,9,83.57,9,83.57,0,0,1095.64
105,32,7/4/2025,VAY BAND1114HG,6.19,150,9,83.57,9,83.57,0,0,1095.64
106,32,7/4/2025,VB-2892 MT(.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
107,32,7/4/2025,VB-5772 (0.45MMX22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
108,33,8/4/2025,VAY BAND 1126 HG (.5),6.19,400,9,222.84,9,222.84,0,0,2921.68
109,33,8/4/2025,VAY BAND 1126 MT .45X22MM,3.6,150,9,48.6,9,48.6,0,0,637.2
110,34,8/4/2025,VAY BAND 1126 HG (.5),6.19,200,9,111.42,9,111.42,0,0,1460.84
111,34,8/4/2025,VAY BAND 1127 HG (.5),6.19,200,9,111.42,9,111.42,0,0,1460.84
112,34,8/4/2025,VAY BAND 1128 HG(.5),6.19,100,9,55.71,9,55.71,0,0,730.42
113,34,8/4/2025,VAY BAND 1261HG (DARK GREY),6.19,150,9,83.57,9,83.57,0,0,1095.64
114,34,8/4/2025,VAY BAND 1313 HG CLUD GREY,6.19,150,9,83.57,9,83.57,0,0,1095.64
115,34,8/4/2025,VAY BAND1114HG,6.19,100,9,55.71,9,55.71,0,0,730.42
116,34,8/4/2025,VB-10659 (0.45X22MM),3.94,200,9,70.92,9,70.92,0,0,929.84
117,34,8/4/2025,VB-1118 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
118,34,8/4/2025,VB-1261 MAT(0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
119,34,8/4/2025,VB-1313MT(0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
120,34,8/4/2025,VB-19071 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
121,35,8/4/2025,VB-2011MT (0.45X22MM),3.6,100,9,32.4,9,32.4,0,0,424.8
122,36,8/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
123,37,8/4/2025,VAY BAND 1140 HG DARK GREY 3,6.19,100,9,55.71,9,55.71,0,0,730.42
124,38,8/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,100,9,55.71,9,55.71,0,0,730.42
125,38,8/4/2025,VB-10485(0.45X22MM),3.94,50,9,17.73,9,17.73,0,0,232.46
126,38,8/4/2025,VB-5465 (0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
127,39,8/4/2025,VAY BAND REALWOOD3 2MMX40MM,40.25,150,9,543.38,9,543.38,0,0,7124.26
128,39,8/4/2025,VB-1261 MAT(0.45MMX22MM),3.6,150,9,48.6,9,48.6,0,0,637.2
129,39,8/4/2025,VB-REALWOOD2 (0.45X22MM),3.94,150,9,53.19,9,53.19,0,0,697.38
130,39,8/4/2025,VB-REALWOOD3 (0.45X22MM),3.94,1000,9,354.6,9,354.6,0,0,4649.2
131,40,8/4/2025,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,11.88,50,9,53.46,9,53.46,0,0,700.92
132,40,8/4/2025,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,10.89,50,9,49,9,49,0,0,642.5
133,40,8/4/2025,VAY BAND 1114GL 0.5MMX40MM,11.88,50,9,53.46,9,53.46,0,0,700.92
134,41,8/4/2025,VAY BAND 1113HG(OFF-WHITE),6.19,150,9,83.57,9,83.57,0,0,1095.64
135,41,8/4/2025,VAY BAND 1113HG(OFF-WHITE)40MMX50MTR,11.88,50,9,53.46,9,53.46,0,0,700.92
136,41,8/4/2025,VAY BAND 1113MT(OFF-WHITE)-0.5X40MM,10.89,100,9,98.01,9,98.01,0,0,1285.02
137,41,8/4/2025,VAY BAND 1114GL 0.5MMX40MM,11.88,100,9,106.92,9,106.92,0,0,1401.84
138,41,8/4/2025,VAY BAND 1114MT 0.5MMX40MM,9.37,100,9,84.33,9,84.33,0,0,1105.66
139,41,8/4/2025,VAY BAND1114HG,6.19,200,9,111.42,9,111.42,0,0,1460.84
140,41,8/4/2025,VB-10485(0.45X22MM),3.94,100,9,35.46,9,35.46,0,0,464.92
141,41,8/4/2025,VB-10659 (0.45X22MM),3.94,250,9,88.65,9,88.65,0,0,1162.3
142,41,8/4/2025,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
143,41,8/4/2025,VB-1114 MAT (0.45MMX22MM),3.6,250,9,81,9,81,0,0,1062
