SlNo,Item Name,P.Price,Retail,COST,Qty,Amount
152,VAY BANDREALWOOD3 2MMX22MM,15.10,20.35,15.10,700.00,10570.00
153,VAY G-PROFILE BLACK 10 FT-1050 GRM,580.00,720.40,580.00,0.00,0.00
154,VAY G-PROFILE BLACK 10 FT-1250 GRM,641.00,805.10,641.00,1.00,641.00
155,VAY G-PROFILE CP BRUSH 10 FT-1250 GRM,635.00,805.10,635.00,220.00,139700.00
156,VAY G-PROFILE CP BRUSH 10FT-1050GRM,575.00,720.40,575.00,230.00,132250.00
157,VAY G-PROFILE GREY 10 FT-1050 GRM,580.00,720.40,580.00,160.00,92800.00
158,VAY G-PROFILE GREY 10 FT-1250 GRM,641.00,805.10,641.00,160.00,102560.00
159,VAY G-PROFILE ROSE GOLD 10 FT-1050 GRM,580.00,720.40,580.00,150.00,87000.00
160,VAY G-PROFILE ROSE GOLD 10 FT-1250 GRM,641.00,805.10,641.00,140.00,89740.00
161,VB-1002 MT(0.45X22MM,2.71,3.50,2.71,8550.00,23170.50
162,VB-1003 MT(0.45X22MM),2.71,3.50,2.71,9600.00,26016.00
163,VB-1011 MT(0.45MMX22MM),2.71,3.60,2.71,0.00,0.00
164,VB-1013 (0.45X22MM),3.05,3.94,3.05,7500.00,22875.00
165,VB-1033 WHITE WOOD  (0.45MMX22MM),3.05,3.94,3.05,3050.00,9302.50
166,VB-1037( 0.45X22MM),3.05,3.94,3.05,10500.00,32025.00
167,VB-1044 (0.45MMX22MM),3.48,4.58,3.48,4650.00,16182.00
168,VB-10450 (0.45X22MM),3.48,4.58,3.48,6200.00,21576.00
169,VB-10485(0.45X22MM),3.05,3.94,3.05,10000.00,30500.00
170,VB-10659 (0.45X22MM),3.48,4.58,3.48,25400.00,88392.00
171,VB-10659 MT(0.8MMX40MM),13.30,17.23,13.30,2500.00,33250.00
172,VB-1071  (0.45X22MM),3.05,3.94,3.05,850.00,2592.50
173,VB1085 BLACK MT(0.45MMX22MM),2.71,3.60,2.71,0.00,0.00
174,VB-1090 (0.45X22MM),2.71,3.60,2.71,0.00,0.00
175,VB-10944(0.45X22MM),3.05,3.94,3.05,5150.00,15707.50
176,VB-1113 MAT OFF-WHITE (0.45MMX22MM),3.10,4.16,3.10,33000.00,102300.00
177,VB-1113MAT(0.8MMX40MM),12.75,16.52,12.75,0.00,0.00
178,VB-1114 MAT (0.45MMX22MM),3.10,4.16,3.10,26500.00,82150.00
179,VB-1114 MT (0.8MMX40MM),12.75,16.52,12.75,1000.00,12750.00
180,VB-1115 (0.45X22MM),3.05,3.94,3.05,3350.00,10217.50
181,VB-1117 (0.45X22MM),3.05,3.94,3.04,7300.00,22224.85
182,VB-1118 (0.45X22MM),3.05,3.94,3.05,3850.00,11742.50
183,VB-1119 (0.45X22MM),3.05,3.94,3.05,21600.00,65880.00
184,VB-1119(0.5X40MM),8.26,11.03,8.26,1650.00,13629.00
185,VB-1119(0.8MMX22MM),6.52,8.71,6.52,2400.00,15644.64
186,VB-1119(0.8MMX40MM),13.30,17.16,13.25,2250.00,29802.83
187,VB-1120 (0.45X22MM),3.05,3.94,3.05,6400.00,19520.00
188,VB-1121 IVORY (0.45MMX22MM),2.71,3.50,2.71,1000.00,2710.00
189,VB-1121 OAK(0.45X22MM),3.05,3.94,3.05,5450.00,16622.50
190,VB-1122 (0.45X22MM),3.05,3.94,3.05,10450.00,31872.50
191,VB-1122 VENGA( 0.45X22MM),3.48,4.58,3.48,4050.00,14094.00
192,VB-1123 (0.45X22MM),3.05,3.94,3.05,10950.00,33397.50
193,VB-1127 MT(0.45X22MM),2.71,3.50,2.71,4300.00,11653.00
194,VB-1129 MAT(0.45MMX22MM),2.71,3.60,2.71,1450.00,3929.50
195,VB-1131(O.45X22MM),3.05,3.94,3.05,5650.00,17232.50
196,VB-1132(0.45X22MM),3.48,4.58,3.48,7350.00,25578.00
197,VB-1135 SAGE GREEN (0.45X22),3.10,4.16,3.10,5150.00,15965.00
198,VB-1140 BAGE (0.45MMX22MM),3.10,4.16,3.10,5800.00,17980.00
199,VB-1141 {0.45X22MM},3.48,4.58,3.48,5150.00,17922.00
200,VB-1143{0.45X2MM},3.05,3.94,3.05,9550.00,29127.50
201,VB-1144 MT(0.45X22MM),3.05,3.94,3.05,100.00,305.00
202,VB-11510(0.45X22MM),3.48,4.58,3.48,9200.00,32016.00
203,VB-1261 MAT(0.45MMX22MM),3.10,4.16,3.10,16300.00,50530.00
204,VB-1263HG(0.5MMX22MM),4.96,6.19,4.96,7250.00,35960.00
205,VB-1291 ELECTRIC BLUE (0.45MMX22MM),2.71,3.60,2.71,0.00,0.00
206,VB-1299 NAVY BLUE (0.45MMX22MM),2.71,3.60,2.71,6700.00,18157.00
207,VB-1313MT(0.45MMX22MM),2.71,3.60,2.71,6000.00,16260.00
208,VB-1401MT (0.45X22MM),3.10,4.16,3.10,3700.00,11470.00
209,VB-1401MT(0.5MMX40MM),6.30,8.06,6.30,2100.00,13230.00
210,VB-1698 {0.45X22MM},3.05,3.94,3.05,6850.00,20892.50
211,VB-1803 ASH DARK(0.45MMX22MM),3.05,3.94,3.05,7350.00,22417.50
212,VB-1804{0.45X22MM},3.05,3.94,3.05,4050.00,12352.50
213,VB-1815 (0.45MMX22MM),3.48,4.58,3.48,8000.00,27840.00
214,VB-1873 (0.45X22MM),3.48,4.58,3.48,10600.00,36888.00
215,VB-19070(0.45MMX22MM),3.48,4.58,3.48,6050.00,21054.00
216,VB-19071 (0.45X22MM),3.05,3.94,3.05,8450.00,25772.50
217,VB-19074 (0.45X22MM),3.05,3.94,3.05,16500.00,50325.00
218,VB-19079 (0.45X22MM),3.05,3.94,3.05,12350.00,37667.50
219,VB-2011MT (0.45X22MM),2.71,3.60,2.71,-100.00,-271.00
220,VB-2012 MT(0.45X22MM),2.71,3.60,2.71,6250.00,16937.50
221,VB-2890 MT(0.45X22MM),3.05,3.94,3.05,3850.00,11742.50
222,VB-2891-MT-WOOD-0.45*22,3.48,4.58,3.48,10050.00,34974.00
223,VB-2892 MT(.45X22MM),3.48,4.58,3.48,10600.00,36888.00
224,VB-2892 MT(.8X22MM),7.50,9.75,7.50,2650.00,19875.00
225,VB-30029 (0.45MMX22MM),3.05,3.94,3.05,8450.00,25772.50
226,VB-30034(0.45MMX22MM),3.05,3.94,3.05,5700.00,17385.00
227,VB-30054(0.45MMX22MM),3.05,3.94,3.05,7900.00,24095.00
228,VB-30072 (0.45MMX22MM),3.05,3.94,3.05,4100.00,12505.00
229,VB-30086(0.45MMX22MM),3.05,3.94,3.05,5200.00,15860.00
230,VB-30167 (0.45MMX22MM),3.05,3.94,3.05,8650.00,26382.50
231,VB-30181(0.45MMX22MM),3.05,3.94,3.05,6400.00,19520.00
232,VB-30216 (0.45X22MM),3.05,3.94,3.05,2650.00,8082.50
233,VB-4013 (0.45MMX22MM),3.05,3.94,3.05,4950.00,15097.50
234,VB-5063 (0.45X22MM),3.05,3.94,3.05,7050.00,21502.50
235,VB-5095 (0.45X22MM),3.05,3.94,3.05,10450.00,31872.50
236,VB-5171 (0.45X22MM),3.05,3.94,3.05,6800.00,20740.00
237,VB-5373 (0.45X22MM),3.05,3.94,3.05,8850.00,26992.50
238,VB-5375 SATURNO WALNUT(0.45MMX22MM),3.05,3.94,3.05,15600.00,47580.00
239,VB-5465 (0.45X22MM),3.05,3.94,3.05,15150.00,46207.50
240,VB-5550 (0.45MMX22MM),3.05,3.94,3.05,17950.00,54747.50
241,VB-5550(0.5MMX40MM),7.98,11.88,7.98,3650.00,29127.00
242,VB-5771 (0.45X22MM),3.05,3.94,3.05,8150.00,24857.50
243,VB-5772 (0.45MMX22MM),3.05,3.94,3.05,11250.00,34312.50
244,VB-REALWOOD2 (0.45X22MM),3.05,3.94,3.05,13500.00,41175.00
245,VB-REALWOOD3 (0.45X22MM),3.48,4.58,3.48,18150.00,63162.00
,,,,,,
,Total,,,,,5302999.69
