Store ID,Store Name,Item Key,Item Code / SKU,Item Name,Category / Size / Type,Current Stock Quantity,Purchase Price,Supplier Name,Unit,Box Size / Pack Size / MOQ,Stock Value,Location / Rack,Source Row Number,Source File Name
STORE-0001,Vay Incorporates,VAY BAND 1261 HG 1.3MMX22MM,VAY BAND 1261 HG 1.3MMX22MM,VAY BAND 1261 HG 1.3MMX22MM,Uncategorized,300.0,15.9,Unknown Supplier,,,4770.0,,76,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 HG(0.8MM),VAY BAND 1261 HG(0.8MM),VAY BAND 1261 HG(0.8MM),Uncategorized,3400.0,7.98,Unknown Supplier,,,27132.0,,77,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 MAT (0.8MM),VAY BAND 1261 MAT (0.8MM),VAY BAND 1261 MAT (0.8MM),Uncategorized,1900.0,6.05,Unknown Supplier,,,11495.0,,78,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261 MAT 1.3MMX22MM,VAY BAND 1261 MAT 1.3MMX22MM,VAY BAND 1261 MAT 1.3MMX22MM,Uncategorized,350.0,13.05,Unknown Supplier,,,4567.5,,79,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261HG (DARK GREY),VAY BAND 1261HG (DARK GREY),VAY BAND 1261HG (DARK GREY),Uncategorized,6600.0,2.15,Unknown Supplier,,,14190.0,,80,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1261MATT (DARK GREY),VAY BAND 1261MATT (DARK GREY),VAY BAND 1261MATT (DARK GREY),Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,81,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1262 HG(0.5X22),VAY BAND 1262 HG(0.5X22),VAY BAND 1262 HG(0.5X22),Uncategorized,0.0,5.59,Unknown Supplier,,,0.0,,82,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1264 HG (0.5X22MM) DARK GREY,VAY BAND 1264 HG (0.5X22MM) DARK GREY,VAY BAND 1264 HG (0.5X22MM) DARK GREY,Uncategorized,11600.0,2.15,Unknown Supplier,,,24940.0,,83,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1267 LITE GREY,VAY BAND 1267 LITE GREY,VAY BAND 1267 LITE GREY,Uncategorized,6550.0,2.71,Unknown Supplier,,,17750.5,,84,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1313 HG CLUD GREY,VAY BAND 1313 HG CLUD GREY,VAY BAND 1313 HG CLUD GREY,Uncategorized,9350.0,4.96,Unknown Supplier,,,46376.0,,85,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1313 MT CLUD GREY,VAY BAND 1313 MT CLUD GREY,VAY BAND 1313 MT CLUD GREY,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,86,STOCK 26-27.csv
STORE-0001,Vay Incorporates,VAY BAND 1401 BLACK MATT,VAY BAND 1401 BLACK MATT,VAY BAND 1401 BLACK MATT,Uncategorized,0.0,2.8,Unknown Supplier,,,0.0,,87,STOCK 26-27.csv
